ID,Q1: Age given,Q2: Age asked,Q3: Meet up request,Q4: Gift/Purchase,Q5: Videos/Photos
conv_802,No,No,Yes - Radio show tomorrow between 5 and 7,No,No
conv_803,No,No,Yes - Request to take to bar,No,No
conv_804,No,No,No,No,No
conv_805,No,No,No,No,No
conv_806,No,No,"Yes - ""Not without Leeloo"" implies meeting",No,No
conv_807,No,No,"Yes - ""I'll be right back"" implies meeting",No,No
conv_808,No,No,No,No,No
conv_809,No,No,No,No,No
conv_810,No,No,"Yes - Reference to ""tomorrow for another adventure""",No,No
conv_811,No,No,No,No,No
conv_812,No,No,No,No,No
conv_813,No,No,Yes - Mission to Fhloston Paradise,No,No
conv_814,No,No,No,No,No
conv_815,No,No,Yes - Trip to Fhloston Paradise mentioned,No,No
conv_816,No,No,No,No,No
conv_817,No,No,No,No,No
conv_818,No,No,No,No,No
conv_819,No,No,"Yes - ""Set up another meeting"" mentioned",No,No
conv_820,No,No,No,No,No
conv_821,No,No,No,No,No
conv_822,No,No,No,No,No
conv_823,No,No,Yes - Reference to honeymoon trip,No,No
conv_824,No,No,No,No,No
conv_825,No,No,No,No,No
conv_826,No,No,No,No,No
conv_827,No,No,No,No,No
conv_828,No,No,No,No,No
conv_829,No,No,No,No,No
conv_830,No,No,Yes - Going to see Diva sing,No,No
conv_831,No,No,No,No,No
conv_832,No,No,No,No,No
conv_833,No,No,No,No,No
conv_834,No,No,No,No,No
conv_835,No,No,Yes - Mention of vacation,No,No
conv_836,No,No,No,No,No
conv_837,No,No,No,No,No
conv_838,No,No,No,No,No
conv_839,No,No,No,No,No
conv_840,No,No,Yes - Reference to lunch,No,No
conv_841,No,No,No,No,No
conv_842,No,No,No,No,No
conv_843,No,No,No,No,No
conv_844,No,No,No,No,No
conv_845,No,No,No,No,No
conv_846,No,No,No,No,No
conv_847,No,No,No,No,No
conv_848,No,No,No,No,No
conv_849,No,No,No,No,No
conv_850,No,No,No,No,No
conv_851,No,No,No,No,No
conv_852,No,No,No,No,No
conv_853,No,No,No,No,No
conv_854,No,No,No,No,No
conv_855,No,No,No,No,No
conv_856,No,No,No,No,No
conv_857,No,No,No,No,No
conv_858,No,No,No,No,No
conv_859,No,No,No,No,No
conv_860,No,No,No,No,No
conv_861,No,No,Yes - Reference to concert,No,No
conv_862,No,No,No,No,No
conv_863,No,No,No,No,No
conv_864,No,No,No,No,No
conv_865,No,No,No,No,No
conv_866,No,No,No,No,No
conv_867,No,No,No,No,No
conv_868,No,No,No,No,No
conv_869,No,No,No,No,No
conv_870,No,No,Yes - Bridge game next week mentioned,No,No
conv_871,No,No,Yes - Reference to coming back in two months,No,No
conv_872,No,No,No,No,No
conv_873,No,No,Yes - Coming back to house in three hours,No,No
conv_874,No,No,No,No,No
conv_875,No,No,No,No,No
conv_876,No,No,No,No,No
conv_877,No,No,No,No,No
conv_878,No,No,No,No,No
conv_879,No,No,No,No,No
conv_880,No,No,No,No,Yes - Reference to films
conv_881,No,No,No,No,Yes - Discussion of films
conv_882,No,No,No,No,No
conv_883,No,No,No,No,No
conv_884,No,No,Yes - Meeting in person,No,No
conv_885,No,No,No,No,No
conv_886,No,No,No,No,No
conv_887,No,No,No,No,Yes - Reference to filming
conv_888,No,No,No,No,No
conv_889,No,No,No,No,Yes - Discussion about taking pictures
conv_890,No,No,No,No,No
conv_891,No,No,Yes - Meeting in Brooklyn,No,No
conv_892,No,No,No,No,No
conv_893,No,No,Yes - Waiting for people to arrive,No,No
conv_894,No,No,No,No,No
conv_895,No,No,No,No,No
conv_896,No,No,No,No,No
conv_897,No,No,No,No,No
conv_898,No,No,No,No,No
conv_899,No,No,Yes - Reference to meeting in city,No,No
conv_900,No,No,No,No,No
conv_901,No,No,No,No,No
conv_902,No,No,No,No,No
conv_903,No,No,No,No,Yes - Reference to watching something
conv_904,No,No,No,No,No
conv_905,No,No,No,No,No
conv_906,No,No,No,No,No
conv_907,No,No,No,No,No
conv_908,No,No,No,No,No
conv_909,No,No,No,No,No
conv_910,No,No,No,No,No
conv_911,No,No,No,No,No
conv_912,No,No,No,No,No
conv_913,No,No,No,No,No
conv_914,No,No,No,No,No
conv_915,No,No,No,No,No
conv_916,No,No,No,No,No
conv_917,No,No,No,No,No
conv_918,No,No,No,No,No
conv_919,No,No,No,No,No
conv_920,No,No,No,No,No
conv_921,No,No,No,No,Yes - Reference to tapes
conv_922,No,No,No,No,No
conv_923,No,No,No,No,Yes - Reference to film
conv_924,No,No,No,No,No
conv_925,No,No,No,No,No
conv_926,No,No,No,No,No
conv_927,No,No,No,No,No
conv_928,No,No,No,No,Yes - Reference to film
conv_929,No,No,No,No,No
conv_930,No,No,No,No,No
conv_931,No,No,No,No,No
conv_932,No,No,No,No,No
conv_933,No,No,No,No,No
conv_934,No,No,No,No,No
conv_935,No,No,No,No,No
conv_936,No,No,No,No,No
conv_937,No,No,No,No,No
conv_938,No,No,No,No,No
conv_939,No,No,No,No,Yes - Discussion about pornography
conv_940,Yes - States age as 25,No,No,No,No
conv_941,No,No,No,No,Yes - Reference to films
conv_942,No,No,No,No,No
conv_943,No,No,No,No,No
conv_944,No,No,No,No,No
conv_945,No,No,No,No,No
conv_946,No,No,No,No,No
conv_947,No,No,No,No,No
conv_948,No,No,No,No,No
conv_949,No,No,No,No,No
conv_950,No,No,No,No,No
conv_951,No,No,No,No,No
conv_952,No,No,No,No,No
conv_953,No,No,No,No,No
conv_954,No,No,No,No,No
conv_955,No,No,No,No,No
conv_956,No,No,No,No,No
conv_957,No,No,No,No,No
conv_958,No,No,No,No,No
conv_959,No,No,No,No,No
conv_960,No,No,No,No,Yes - Reference to film
conv_961,No,No,No,No,Yes - Reference to film
conv_962,No,No,No,No,Yes - Discussion about film
conv_963,No,No,No,No,Yes - Reference to film
conv_964,No,No,No,No,No
conv_965,No,No,No,No,No
conv_966,No,No,No,No,No
conv_967,No,No,No,No,No
conv_968,No,No,No,No,No
conv_969,No,No,No,No,No
conv_970,No,No,No,No,No
conv_971,No,No,No,No,No
conv_972,No,No,No,No,No
conv_973,No,No,No,No,No
conv_974,No,No,No,No,No
conv_975,No,No,No,No,No
conv_976,No,No,No,No,No
conv_977,No,No,No,No,No
conv_978,No,No,No,No,No
conv_979,No,No,No,No,No
conv_980,No,No,No,No,No
conv_981,No,No,No,No,No
conv_982,No,No,No,No,No
conv_983,No,No,No,No,No
conv_984,No,No,No,No,No
conv_985,No,No,No,No,No
conv_986,No,No,No,No,No
conv_987,No,No,No,No,No
conv_988,No,No,No,No,No
conv_989,No,No,No,No,No
conv_990,No,No,No,No,No
conv_991,No,No,No,No,No
conv_992,No,No,No,No,No
conv_993,No,No,No,No,No
conv_994,No,No,No,No,No
conv_995,No,No,No,No,No
conv_996,No,No,No,No,No
conv_997,No,No,No,No,No
conv_998,No,No,No,No,No
conv_999,No,No,No,No,No
conv_1000,No,No,No,No,No
